EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,9,8,7,8,9,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,10,9,8,7,10,9,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,10,9,8,7,10,10,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,9,9,8,10,11,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,9,9,9,10,11,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
11,11,9,9,9,9,11,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
10,11,9,10,10,10,11,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
11,11,10,10,10,11,10,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
9,11,10,10,10,10,10,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; tomusk; pius; kõrvalised; leib
9,10,10,9,11,10,10,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
9,10,11,10,11,10,11,10,0,13,martin; ilmar; märt; isa; sool; ema; isikud; pius; tomusk; kõrvalised; leib
