EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,5,5,0,8,8,8,6,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
6,7,6,5,0,8,8,8,6,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
5,7,7,5,1,8,8,8,6,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
5,7,7,5,1,8,8,8,6,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
5,7,8,5,2,8,8,8,6,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
3,7,6,6,2,7,7,8,6,14,keiu; rästas; võõras; peeter; lavastaja; urmas; virro; vadi
3,7,6,8,4,7,8,8,7,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
2,7,6,6,5,7,6,8,7,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
1,7,6,6,7,7,5,8,7,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
1,5,6,6,8,6,5,8,7,14,rästas; keiu; võõras; peeter; lavastaja; urmas; virro; vadi
1,6,6,4,7,6,5,7,6,14,virro; rästas; keiu; võõras; peeter; urmas; lavastaja; vadi
