EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,1,3,2,4,2,0,5,3,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,1,3,2,4,3,0,5,3,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,1,5,2,3,3,1,5,3,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,1,5,2,4,3,2,5,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,2,5,2,4,7,5,5,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,2,8,5,4,5,8,6,3,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
3,2,8,6,4,5,6,7,3,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
4,4,8,6,4,6,7,7,3,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
2,1,8,5,3,7,6,8,3,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
3,1,6,4,3,6,6,7,4,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
3,2,7,3,5,6,6,6,3,12,kristi; raha; julgus; hall; eriline; mass; ajakirjandus; aule; tasuline
