EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,7,7,5,6,7,5,0,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
6,7,7,7,5,7,7,5,0,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
6,7,8,7,4,7,7,6,0,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
6,7,8,7,5,7,7,6,0,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
6,7,8,7,5,7,7,6,0,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
6,7,8,8,5,7,7,6,0,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
6,7,6,7,4,7,8,6,0,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
7,8,7,7,4,8,8,5,0,12,iroonia; viivi; intervjuu; raadioarhiiv; kollane; mati; unt; kass
6,7,8,7,5,7,8,6,0,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
6,8,8,7,5,6,8,6,0,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
6,7,7,7,6,6,6,6,0,12,iroonia; intervjuu; raadioarhiiv; viivi; kollane; mati; unt; kass
