EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,4,2,3,1,5,6,0,13,andrus; graafika; poola; jüri; president; ansip; adams
4,3,4,3,3,1,5,7,0,13,andrus; graafika; poola; jüri; president; ansip; adams
4,3,4,2,3,1,5,7,0,13,andrus; graafika; poola; jüri; president; ansip; adams
4,3,3,3,3,2,6,7,0,13,andrus; graafika; poola; jüri; president; ansip; adams
3,2,4,4,5,2,5,7,0,13,andrus; graafika; poola; jüri; president; ansip; adams
2,2,5,5,6,4,6,7,0,13,andrus; graafika; poola; jüri; president; ansip; adams
3,1,6,6,6,6,6,7,0,13,andrus; graafika; poola; jüri; president; ansip; adams
1,4,5,5,5,6,6,6,0,13,andrus; graafika; poola; jüri; president; ansip; adams
4,4,5,5,6,4,6,5,0,13,andrus; graafika; poola; jüri; president; ansip; adams
3,3,3,5,5,5,5,4,0,13,andrus; graafika; poola; jüri; president; ansip; adams
2,5,4,6,5,5,5,4,0,13,andrus; graafika; poola; jüri; president; ansip; adams
