EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,8,1,4,5,8,7,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
5,4,8,1,4,5,8,7,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
5,4,8,1,4,5,9,7,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
4,5,8,2,4,5,9,7,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
4,5,8,2,4,4,9,7,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
4,3,8,3,5,4,9,7,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
3,2,6,5,5,4,7,7,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
3,6,7,3,6,8,7,8,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
4,5,6,6,6,7,6,8,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
4,6,6,6,7,6,4,6,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
6,5,6,6,7,6,6,5,0,12,mari; aabits; tahvel; kadakas; esimene; raha; lugu; sõna; tarand
