EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,5,5,2,5,5,5,0,15,vare; tootmisliin; iisrael; üro; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; tallinna
9,6,5,6,2,6,5,5,0,15,vare; tootmisliin; iisrael; üro; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; tallinna
9,6,6,6,2,6,5,6,0,15,vare; tootmisliin; iisrael; üro; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; tallinna
9,6,7,6,2,6,5,6,0,15,vare; tootmisliin; iisrael; üro; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; tallinna
8,6,9,6,3,7,5,6,0,15,üro; tootmisliin; iisrael; vare; viktor; liibanon; alatskivi; kai; resolutsioon; janukovitš; tallinna
7,6,8,6,3,8,7,6,0,15,tootmisliin; viktor; alatskivi; resolutsioon; janukovitš; tallinna; üro; vare; iisrael; liibanon; kai
7,5,7,8,5,9,8,6,0,15,tootmisliin; viktor; alatskivi; resolutsioon; janukovitš; tallinna; üro; vare; iisrael; liibanon; kai
5,5,8,7,9,9,7,6,0,15,tootmisliin; viktor; alatskivi; resolutsioon; janukovitš; tallinna; vare; üro; iisrael; liibanon; kai
6,5,8,7,9,8,6,6,0,15,tootmisliin; viktor; alatskivi; resolutsioon; janukovitš; tallinna; üro; vare; iisrael; liibanon; kai
6,6,7,8,9,8,8,6,0,15,tootmisliin; viktor; alatskivi; resolutsioon; janukovitš; tallinna; üro; vare; iisrael; liibanon; kai
6,7,6,8,9,7,8,6,0,15,tootmisliin; viktor; alatskivi; resolutsioon; janukovitš; tallinna; üro; vare; iisrael; liibanon; kai
