EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,1,2,2,1,2,0,10,energia; pall; töö
3,3,3,1,2,2,1,2,0,10,energia; pall; töö
3,3,3,2,2,2,1,3,0,10,energia; pall; töö
3,3,3,2,2,2,1,3,0,10,energia; pall; töö
3,3,3,3,2,2,1,2,0,10,energia; pall; töö
3,3,3,2,2,2,2,2,0,10,energia; pall; töö
3,3,2,3,2,2,1,3,0,10,energia; pall; töö
2,3,1,3,2,3,1,3,0,10,energia; pall; töö
1,3,2,3,2,3,2,3,0,10,energia; pall; töö
0,2,3,3,2,2,2,3,0,10,energia; pall; töö
1,2,3,3,2,2,2,2,0,10,energia; pall; töö
