EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,7,2,0,3,7,6,0,15,kultuuripealinn; soome-ugri; bashar; sildam; toomas; jevgeni; vladimir; karjatse; ossinovski; tõnu
8,7,7,2,0,2,8,7,0,15,kultuuripealinn; soome-ugri; bashar; sildam; toomas; jevgeni; vladimir; karjatse; ossinovski; tõnu
8,7,9,2,0,2,9,7,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
8,6,7,2,0,2,9,7,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
8,7,8,2,0,6,10,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
7,7,10,3,1,6,9,6,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; vladimir; jevgeni; ossinovski
6,8,10,6,2,5,7,7,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
5,8,10,8,4,6,7,7,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
4,9,10,6,6,6,9,7,0,15,bashar; sildam; karjatse; tõnu; kultuuripealinn; soome-ugri; toomas; jevgeni; vladimir; ossinovski
3,9,9,5,6,6,8,5,0,15,kultuuripealinn; soome-ugri; bashar; toomas; sildam; jevgeni; vladimir; karjatse; ossinovski; tõnu
3,7,8,5,7,7,7,6,0,15,kultuuripealinn; soome-ugri; bashar; toomas; sildam; jevgeni; vladimir; karjatse; ossinovski; tõnu
