EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
8,8,8,8,8,8,8,8,8,15,jumala; eesti; ori; jüri; johannese; kangekaelsus; kannatlikkus; sõna
