EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,5,7,5,5,3,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
5,3,7,7,5,5,4,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
5,3,7,7,5,5,5,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
5,3,7,7,5,3,6,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
5,3,7,7,6,5,6,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
6,5,7,6,6,5,6,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
6,5,7,7,5,4,7,4,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
5,5,7,5,7,4,6,4,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
6,4,7,5,7,7,6,5,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
6,4,7,5,7,7,6,6,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
6,5,7,6,5,7,6,6,0,11,koolitus; turismitalu; kodukohvik; ilves; pidu; kristi; mulgi
