EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,7,6,5,3,6,7,8,4,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; buldooser; vesi; saepuru; toru; ekskavaator
9,7,8,5,3,6,7,8,4,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; buldooser; vesi; saepuru; toru; ekskavaator
9,7,7,6,4,6,7,8,4,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; buldooser; vesi; saepuru; toru; ekskavaator
9,7,7,6,5,6,8,9,4,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; buldooser; vesi; saepuru; toru; ekskavaator
8,7,7,7,5,5,9,8,4,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; buldooser; vesi; saepuru; toru; ekskavaator
10,7,10,8,5,6,8,8,4,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; buldooser; vesi; saepuru; toru; ekskavaator
9,7,8,9,6,6,8,9,5,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; buldooser; vesi; saepuru; toru; ekskavaator
6,4,11,8,8,7,8,8,3,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; vesi; buldooser; saepuru; toru; ekskavaator
6,5,10,9,8,10,8,8,4,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; vesi; buldooser; saepuru; toru; ekskavaator
6,4,7,9,7,10,8,7,5,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; vesi; buldooser; saepuru; toru; ekskavaator
5,4,8,9,8,8,7,8,5,13,uno; sügavus; veehoidla; põllumajanduse; pauts; eesti; vesi; buldooser; saepuru; toru; ekskavaator
