EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,9,9,6,9,8,10,8,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
8,9,9,9,7,9,8,10,8,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
9,9,8,9,7,9,9,10,8,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
9,9,8,9,7,10,9,10,8,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
10,9,8,9,7,10,10,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
10,9,9,8,8,10,10,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
10,9,10,10,8,10,10,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
9,9,10,10,8,10,10,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
9,9,10,10,10,10,10,9,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
9,10,10,10,9,10,10,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
9,10,10,10,9,10,10,10,10,13,admiral; kadri-ann; sagrits; hobune; ükssilm; karl; silver; heino; väli; mereröövel
