EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,3,5,5,3,7,6,0,16,tantsupidu; hing; arm; vaike; ja; rajaste; agu; mets; mait; maa
8,9,4,5,6,3,7,6,0,16,tantsupidu; hing; arm; vaike; ja; rajaste; agu; mets; mait; maa
7,9,4,5,6,3,7,6,0,16,arm; vaike; ja; mets; mait; tantsupidu; hing; rajaste; agu; maa
7,9,5,5,6,3,7,7,0,16,arm; vaike; ja; mets; mait; tantsupidu; hing; rajaste; agu; maa
7,9,7,7,6,4,7,7,0,16,arm; vaike; ja; mets; mait; tantsupidu; hing; rajaste; agu; maa
7,9,8,7,9,6,8,7,0,16,arm; vaike; ja; mets; mait; tantsupidu; hing; rajaste; agu; maa
7,9,9,10,9,8,9,7,0,16,arm; vaike; ja; mets; mait; tantsupidu; hing; rajaste; agu; maa
7,9,9,8,9,9,10,7,0,16,arm; vaike; ja; mets; mait; tantsupidu; hing; rajaste; agu; maa
6,8,10,9,9,9,9,9,0,16,arm; vaike; ja; mets; mait; tantsupidu; hing; rajaste; agu; maa
6,8,9,9,9,9,9,9,0,16,arm; vaike; ja; mets; mait; tantsupidu; hing; rajaste; agu; maa
8,9,8,9,9,8,9,9,0,16,arm; vaike; ja; mets; mait; tantsupidu; hing; rajaste; agu; maa
