EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,12,7,4,7,9,10,12,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
11,12,7,5,7,8,10,12,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
11,12,9,5,7,9,10,12,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
11,12,11,6,8,9,10,12,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
11,12,11,6,8,9,11,12,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
10,12,11,6,11,10,12,12,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
9,12,11,11,11,10,12,12,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; ülar; reaalsusest; jevgeni; kompleks; inimlik; lauk
6,12,11,12,12,10,12,12,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
7,12,11,12,11,12,12,12,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
6,11,12,12,12,12,12,10,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
6,12,10,11,12,11,12,10,0,15,autor; urmas; vadi; tõlge; vikerraadio; vene; reaalsusest; ülar; jevgeni; kompleks; inimlik; lauk
