EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,6,3,3,5,5,5,0,13,otsus; moekunstnik; liivia; kilumets; vaim; poliitiline; haapsalu; keskkond; margit; vaimuinimene
7,4,6,3,3,4,5,4,0,13,otsus; moekunstnik; liivia; kilumets; vaim; poliitiline; haapsalu; keskkond; margit; vaimuinimene
7,4,7,3,3,4,5,4,0,13,otsus; moekunstnik; liivia; kilumets; vaim; poliitiline; haapsalu; keskkond; margit; vaimuinimene
7,5,5,3,3,6,6,4,0,13,otsus; moekunstnik; liivia; kilumets; vaim; poliitiline; haapsalu; keskkond; margit; vaimuinimene
8,6,5,3,3,5,6,4,0,13,otsus; moekunstnik; liivia; kilumets; vaim; poliitiline; haapsalu; keskkond; margit; vaimuinimene
7,6,8,4,4,4,7,4,0,13,otsus; moekunstnik; liivia; vaim; kilumets; poliitiline; haapsalu; keskkond; margit; vaimuinimene
4,5,7,8,4,5,6,2,0,13,otsus; moekunstnik; liivia; kilumets; vaim; poliitiline; haapsalu; keskkond; margit; vaimuinimene
5,5,7,6,3,6,6,2,0,13,otsus; moekunstnik; liivia; vaim; kilumets; poliitiline; haapsalu; keskkond; margit; vaimuinimene
4,6,5,6,5,5,7,3,0,13,otsus; moekunstnik; liivia; vaim; kilumets; poliitiline; haapsalu; keskkond; margit; vaimuinimene
3,5,6,6,6,5,7,3,0,13,otsus; moekunstnik; liivia; vaim; kilumets; poliitiline; haapsalu; keskkond; margit; vaimuinimene
3,6,6,5,6,5,7,3,0,13,otsus; moekunstnik; liivia; kilumets; vaim; poliitiline; haapsalu; keskkond; margit; vaimuinimene
