lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
nii;ADV;O;11;yes;3430987;1369;932062935;2.182486089930754
et;SCONJ;O;15;yes;12213661;1369;932062935;0.8361682651291155
väliseestlane;NOUN;O;1;no;3261;1369;932062935;162.5940134981937
,;PUNCT;O;139;no;1;1369;932062935;101426.1474086108
kes;PRON;O;5;yes;3572036;1369;932062935;0.9530189874475727
elama;VERB;O;6;no;568247;1369;932062935;7.178657016947596
tema;PRON;O;13;yes;9154483;1369;932062935;0.9668360519769262
lähemal;ADV;O;1;no;16889;1369;932062935;38.25624397034125
asuv;ADJ;O;1;no;187488;1369;932062935;3.618335122238854
riik;NOUN;O;1;no;937782;1369;932062935;0.7262775304766834
nagu;SCONJ;O;8;yes;1699877;1369;932062935;3.2029527180856268
Rootsi;PROPN;O;2;no;146579;1369;932062935;9.237285481223568
teine;DET;O;1;yes;2482902;1369;932062935;0.2744816739676088
läänemeremaa;NOUN;O;1;no;228;1369;932062935;587.698228158773
Inglismaa;PROPN;O;2;no;59538;1369;932062935;22.533493994110916
ja;CCONJ;O;70;yes;29978049;1369;932062935;1.5897595972019558
edasi;ADV;O;1;yes;598918;1369;932062935;1.136562240431143
tulema;VERB;O;14;yes;3338518;1369;932062935;2.8545479173290063
siia;ADV;O;6;yes;218549;1369;932062935;18.616372726644116
sagedamini;ADV;O;1;no;23661;1369;932062935;27.721920333961272
ka;ADV;O;13;yes;7941300;1369;932062935;1.114521117428422
veetma;VERB;O;1;no;120701;1369;932062935;5.605111924349863
tihti;ADV;O;1;no;167348;1369;932062935;4.051382674580444
kodumaa;NOUN;O;2;no;50116;1369;932062935;26.692527034852347
kogu;DET;O;2;yes;810088;1369;932062935;1.68010862152807
oma;PRON;O;5;yes;4535142;1369;932062935;0.7506725768312532
puhkus;NOUN;O;1;no;85096;1369;932062935;7.924936447392598
või;CCONJ;O;4;yes;4113697;1369;932062935;0.6620940783080984
rohkem;ADV;O;3;yes;1093000;1369;932062935;1.8679740156842954
.;PUNCT;O;49;no;1;1369;932062935;35755.18796090226
see;PRON;O;27;yes;18818291;1369;932062935;0.9768455079904578
aga;ADV;O;1;yes;4543343;1369;932062935;0.15002765501871593
saabuma;VERB;O;3;no;119244;1369;932062935;17.003691239175787
kaugelt;ADV;O;1;no;21417;1369;932062935;30.50539225895136
maa;NOUN;O;3;no;369601;1369;932062935;5.514856494317656
olema;AUX;O;97;yes;44175173;1369;932062935;1.4949691516491597
Austraalia;PROPN;O;18;no;52431;1369;932062935;229.67121866997428
võtma;VERB;O;6;no;2139597;1369;932062935;1.9088464365139386
reis;NOUN;O;3;no;135935;1369;932062935;14.930083430349878
ette;ADV;O;4;yes;724550;1369;932062935;3.7551190803841363
harvem;ADV;O;1;no;7877;1369;932062935;77.39380868121427
siis;ADV;O;20;yes;4824773;1369;932062935;2.821894263259441
juba;ADV;O;6;yes;1850492;1369;932062935;2.206918099336297
sedavõrd;ADV;O;1;no;24242;1369;932062935;27.082117543461433
kaugel;ADV;O;3;no;97460;1369;932062935;20.768308007084247
sest;SCONJ;O;2;yes;1380142;1369;932062935;0.98662471227183
tee;NOUN;O;1;yes;634224;1369;932062935;1.0733849068554602
ise;ADV;O;2;yes;3509459;1369;932062935;0.3881623943145739
mitu;DET;O;2;yes;814408;1369;932062935;1.6712067294526654
kuu;NOUN;O;3;no;540164;1369;932062935;3.7764766895595923
kui;SCONJ;O;9;yes;8878634;1369;932062935;0.6901740283425327
sõitma;VERB;O;3;no;521363;1369;932062935;3.9124181205228137
laev;NOUN;O;1;no;120837;1369;932062935;5.598851752814186
üks;NUM;O;2;yes;3226979;1369;932062935;0.4221311471730502
austraalia;ADJ;O;1;no;5261;1369;932062935;110.08558101342236
kanakasvataja;NOUN;O;5;no;88;1369;932062935;3338.133647137007
härralait;NOUN;O;1;no;1;1369;932062935;730.676255457694
vestlema;VERB;O;2;no;28533;1369;932062935;46.24465941156258
ärasõit;NOUN;O;1;no;1623;1369;932062935;266.82979981163
eel;ADP;O;1;yes;39927;1369;932062935;16.685819068752114
Mustamäe;PROPN;O;1;no;13845;1369;932062935;46.13683615283092
ühiselamu;NOUN;O;1;no;5122;1369;932062935;112.61312258759428
kus;ADV;O;7;yes;1607926;1369;932062935;2.962831993929439
külaline;NOUN;O;1;no;110077;1369;932062935;6.141542982408257
peatama;VERB;O;1;no;53865;1369;932062935;12.441669223419407
sugulane;NOUN;O;3;no;40776;1369;932062935;48.99380418772013
juures;ADP;O;2;yes;402814;1369;932062935;3.374898048699239
härra;NOUN;O;1;no;49058;1369;932062935;13.638049072645478
kuidas;ADV;O;6;yes;1317035;1369;932062935;3.1001846623837115
saama;VERB;O;2;yes;7285093;1369;932062935;0.18701579917712224
teine;PRON;O;2;yes;2482902;1369;932062935;0.5485880962431224
austraallane;NOUN;O;1;no;4410;1369;932062935;127.6224072512103
välis;ADJ;O;1;no;7194;1369;932062935;83.898800305337
julgeolekunoor;NOUN;O;1;no;1;1369;932062935;730.676255457694
võimalus;NOUN;O;1;no;896364;1369;932062935;0.759801541112471
avanema;VERB;O;1;no;77023;1369;932062935;8.74564019043423
välja;ADV;O;4;yes;1817185;1369;932062935;1.4984027115425953
rändama;VERB;O;3;no;24684;1369;932062935;79.77169144499908
vend;NOUN;O;1;no;118275;1369;932062935;5.7191823593868145
andma;VERB;O;1;no;1683851;1369;932062935;0.4046615534373215
mina;PRON;O;36;yes;11780658;1369;932062935;2.080448156710594
raha;NOUN;O;2;no;546273;1369;932062935;2.490111828755482
niimoodi;ADV;O;2;yes;68305;1369;932062935;19.680236887699106
lendama;VERB;O;1;no;110782;1369;932062935;6.102785213790379
1927;NUM;O;1;no;1;1369;932062935;730.676255457694
