lemma;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
tere;INTJ;O;1;yes;150469;14485;932062935;0.4311649449840714
õhtu;NOUN;O;2;no;322860;14485;932062935;0.4003359373043689
.;PUNCT;O;425;no;1;14485;932062935;29310.250629762893
mina;PRON;O;328;yes;11780658;14485;932062935;1.7914960430605833
siin;ADV;O;62;yes;842300;14485;932062935;4.7323054430252975
,;PUNCT;O;1457;no;1;14485;932062935;100480.01005552764
Eesti;PROPN;O;16;no;2594139;14485;932062935;0.3970913807438954
raadio;NOUN;O;1;no;57204;14485;932062935;1.1228629472877325
punane;ADJ;O;1;no;162642;14485;932062935;0.39907812888917044
stuudio;NOUN;O;1;no;39576;14485;932062935;1.6115021613264218
olema;AUX;O;683;yes;44175173;14485;932062935;0.9948766322617533
juba;ADV;O;53;yes;1850492;14485;932062935;1.8425334514826508
tugitool;NOUN;O;3;no;10376;14485;932062935;17.153456622736563
iste;NOUN;O;2;no;41510;14485;932062935;3.054177625751132
võtma;VERB;O;27;no;2139597;14485;932062935;0.8120865210401791
Kaarel;PROPN;O;5;no;15062;14485;932062935;20.174104880405487
Orvik;PROPN;O;5;no;16;14485;932062935;340.3422823554388
geoloogiadoktor;NOUN;O;2;no;60;14485;932062935;130.66267716855927
üle;ADP;O;10;yes;1447134;14485;932062935;0.4450071442099099
30;NUM;O;6;no;1;14485;932062935;414.77659934096
aasta;NOUN;O;46;no;4045959;14485;932062935;0.7316439574330889
töötanud;ADJ;O;1;no;122;14485;932062935;61.9306768157057
geoloogia;NOUN;O;2;no;3081;14485;932062935;32.30091356810441
instituut;NOUN;O;1;no;52277;14485;932062935;1.2268366960463783
ja;CCONJ;O;543;yes;29978049;14485;932062935;1.1655241728555086
nüüd;ADV;O;107;yes;1119277;14485;932062935;6.147099207298393
inseneribüroo;NOUN;O;1;no;696;14485;932062935;40.096011995322044
Merin;PROPN;O;1;no;32;14485;932062935;67.71220902803323
kus;ADV;O;63;yes;1607926;14485;932062935;2.520283512020705
tegelema;VERB;O;5;no;308940;14485;932062935;1.0412874915483417
sadam;NOUN;O;38;no;81632;14485;932062935;29.626803252462416
projekteerimine;NOUN;O;1;no;19996;14485;932062935;3.1192008153667765
käsil;ADV;O;1;no;11404;14485;932062935;5.291707031235181
Kunda;PROPN;O;3;no;7766;14485;932062935;22.300639635771688
selg;NOUN;O;3;no;164973;14485;932062935;1.169176899192607
taga;ADP;O;9;yes;249035;14485;932062935;2.32051762519179
Roomassaare;PROPN;O;1;no;635;14485;932062935;41.65680236122694
jahisadamapaber;NOUN;O;1;no;1;14485;932062935;69.96187344093698
peal;ADP;O;11;yes;291595;14485;932062935;2.42284082784975
tegemine;NOUN;O;5;no;590180;14485;932062935;0.545862490967262
kohapeal;ADV;O;3;no;135759;14485;932062935;1.4190566879631064
välja;ADV;O;29;yes;1817185;14485;932062935;1.0268801575197715
mõõdistamine;NOUN;O;1;no;1243;14485;932062935;30.0123871914075
kõik;DET;O;39;yes;3138760;14485;932062935;0.7995867002282644
see;PRON;O;374;yes;18818291;14485;932062935;1.278831927751641
mis;PRON;O;142;yes;9028438;14485;932062935;1.0120499060664614
eelnema;VERB;O;1;no;12046;14485;932062935;5.0299363855642465
uurimistöödejuhataja;NOUN;O;1;no;1;14485;932062935;69.96187344093698
