lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
täpne;1;no;87294;1853;932062935;5.711851688198403
taust;1;no;88936;1853;932062935;5.60748913529899
hull;1;no;90362;1853;932062935;5.519900969652013
selgelt;1;no;90806;1853;932062935;5.493185384516298
pealkiri;1;no;91041;1853;932062935;5.479149768824412
leht;3;no;283346;1853;932062935;5.31148417889136
kuulma;3;no;283532;1853;932062935;5.308011205725328
maht;1;no;96755;1853;932062935;5.158658387075176
hääl;2;no;194777;1853;932062935;5.145067351511392
tehas;1;no;97099;1853;932062935;5.1405561811822285
vaade;1;no;98287;1853;932062935;5.079005703253958
nimetama;2;no;197986;1853;932062935;5.062065733219969
analüüs;1;no;100780;1853;932062935;4.9545174090159
mainima;1;no;100863;1853;932062935;4.950477675328512
kuulama;2;no;202795;1853;932062935;4.942575108065167
jälle;3;no;307300;1853;932062935;4.898706576166772
AS;1;no;102310;1853;932062935;4.881093734398251
kunst;1;no;102435;1853;932062935;4.87519111223336
tütar;1;no;104042;1853;932062935;4.800559037430177
teadmine;2;no;213932;1853;932062935;4.686387739053282
lai;1;no;107827;1853;932062935;4.633491434360328
originaal;1;no;110286;1853;932062935;4.531046245724459
viitama;1;no;111041;1853;932062935;4.500494791420598
ilmselt;3;no;335183;1853;932062935;4.492325992474595
tuul;1;no;112071;1853;932062935;4.4594736941621145
tulevik;2;no;229787;1853;932062935;4.364339458094275
lühike;1;no;116575;1853;932062935;4.288543802657494
tehniline;1;no;119915;1853;932062935;4.170016004356096
asjaolu;1;no;119983;1853;932062935;4.16767087810455
taotlus;1;no;120004;1853;932062935;4.166947180918482
laev;1;no;120837;1853;932062935;4.138441853555012
vanus;1;no;121354;1853;932062935;4.120945383499997
haridus;1;no;122846;1853;932062935;4.071272199363881
järgnev;1;no;125183;1853;932062935;3.9958286884264353
sari;1;no;125732;1853;932062935;3.9785095696557713
raamat;4;no;510015;1853;932062935;3.939626437435044
meel;3;no;390199;1853;932062935;3.860441107271665
materjal;2;no;261961;1853;932062935;3.830212554337048
meri;1;no;131085;1853;932062935;3.817189803461207
põhjal;1;no;132811;1853;932062935;3.7679276626354334
saade;1;no;133711;1853;932062935;3.742741553359169
küla;2;no;269054;1853;932062935;3.729586257732792
tänav;2;no;271552;1853;932062935;3.695395243508085
rida;1;no;138067;1853;932062935;3.625450243172018
ilmuma;1;no;138432;1853;932062935;3.61595504540805
summa;1;no;140710;1853;932062935;3.557800388360874
rahvas;2;no;291924;1853;932062935;3.438331786647177
huvitav;2;no;292581;1853;932062935;3.430635420559623
mäletama;1;no;147820;1853;932062935;3.3877458676897936
antud;2;no;296495;1853;932062935;3.385489874947303
oht;1;no;149166;1853;932062935;3.3573663554646083
värske;1;no;153442;1853;932062935;3.264370820702973
elu;6;no;946740;1853;932062935;3.185642927032594
tellima;1;no;159017;1853;932062935;3.150591677571546
teatud;1;no;159599;1853;932062935;3.139169312810346
lausa;1;no;160462;1853;932062935;3.122383669846228
valimine;1;no;162099;1853;932062935;3.0910317177978253
nautima;1;no;165108;1853;932062935;3.0350156318337125
terve;2;no;341956;1853;932062935;2.936632735134433
kaasa;3;no;515534;1853;932062935;2.923596615631197
loodus;1;no;173089;1853;932062935;2.8958229424595965
mõtlema;5;no;868014;1853;932062935;2.895395684691757
tekst;1;no;179581;1853;932062935;2.791677113693636
seoses;1;no;189458;1853;932062935;2.64685130489412
mets;1;no;191275;1853;932062935;2.621829701902252
süda;1;no;193495;1853;932062935;2.5918932216079997
vorm;1;no;194387;1853;932062935;2.5800563393347944
panema;7;no;1364289;1853;932062935;2.5797631047729683
sisu;1;no;195421;1853;932062935;2.566469699966936
jagama;2;no;392343;1853;932062935;2.5603868767753064
kirjutama;4;no;789966;1853;932062935;2.5451327441599094
sattuma;1;no;202967;1853;932062935;2.4714884868255877
nägema;7;no;1467770;1853;932062935;2.397999578607876
ajalugu;1;no;210344;1853;932062935;2.38519300065439
muusika;1;no;213744;1853;932062935;2.3474167526118666
autor;1;no;214976;1853;932062935;2.334022081751017
märts;1;no;219084;1853;932062935;2.290442705845787
üldse;2;no;442326;1853;932062935;2.2716706007205003
ühendus;1;no;227120;1853;932062935;2.209733076003838
eesti;2;no;457012;1853;932062935;2.198819444558844
väike;3;no;690514;1853;932062935;2.1837400118757757
seotud;2;no;464937;1853;932062935;2.1614148485370634
suhe;1;no;234471;1853;932062935;2.1407290977242965
asi;6;no;1422865;1853;932062935;2.120347683687484
kaduma;1;no;240644;1853;932062935;2.086026986266309
tugev;1;no;251196;1853;932062935;1.998723111787423
võrdlema;1;no;254702;1853;932062935;1.9713107898555504
hommik;1;no;258753;1853;932062935;1.9405590018264345
täpselt;1;no;264891;1853;932062935;1.895750432465681
näide;3;no;796083;1853;932062935;1.8944917152817689
mängima;2;no;537718;1853;932062935;1.8693700778853632
noor;2;no;546822;1853;932062935;1.838300029590554
lõpp;2;no;547561;1853;932062935;1.8358232366944
selge;1;no;277414;1853;932062935;1.8104591859668524
tohtima;1;no;277697;1853;932062935;1.808620325568617
lõpuks;1;no;285373;1853;932062935;1.7601301959259683
plaan;1;no;296908;1853;932062935;1.6919623960338603
mõte;2;no;596277;1853;932062935;1.6860700424624186
soov;1;no;307869;1853;932062935;1.6319056085129222
vajama;1;no;311350;1853;932062935;1.613714799313561
ema;1;no;311624;1853;932062935;1.6123001479679433
tahtma;4;no;1254286;1853;932062935;1.6036580548895043
ilus;1;no;314556;1853;932062935;1.5973161768158686
kiri;1;no;319565;1853;932062935;1.5723519644876784
kuuluma;1;no;324317;1853;932062935;1.549379364758041
kinni;1;no;325823;1853;932062935;1.5422383420532455
hetk;2;no;667812;1853;932062935;1.5057125227885997
pilt;2;no;671722;1853;932062935;1.4969601249536482
käsi;2;no;694904;1853;932062935;1.4470884217390978
minut;1;no;353185;1853;932062935;1.4230723093139346
esimene;4;no;1420248;1853;932062935;1.4163867125404352
võitma;1;no;361078;1853;932062935;1.3920446918870906
hiljem;1;no;361314;1853;932062935;1.391137787490053
rääkima;3;no;1111753;1853;932062935;1.3570222913771075
teadma;4;no;1482699;1853;932062935;1.3567662524444617
lugema;2;no;754112;1853;932062935;1.3336126453171535
pikk;1;no;395543;1853;932062935;1.2710362734742682
otsima;1;no;400788;1853;932062935;1.2544411718861974
algama;1;no;404474;1853;932062935;1.243035643991283
vajalik;1;no;414357;1853;932062935;1.2134540287598492
alustama;1;no;424959;1853;932062935;1.183246680607828
pakkuma;2;no;862364;1853;932062935;1.1663858476064564
sõna;2;no;862366;1853;932062935;1.1663831454439062
küsima;1;no;448244;1853;932062935;1.1219079289879754
viis;1;no;476277;1853;932062935;1.0560029673766245
tunduma;1;no;476788;1853;932062935;1.0548733989155177
valima;1;no;477367;1853;932062935;1.0535964327968212
tund;1;no;482079;1853;932062935;1.0433181042608832
muutma;1;no;493755;1853;932062935;1.0186928753068956
osa;2;no;998668;1853;932062935;1.0073391823778164
inimene;5;no;2519709;1853;932062935;0.9981360368391214
tekkima;1;no;521616;1853;932062935;0.9643786328245618
käima;2;no;1068258;1853;932062935;0.94177484902698
nimi;1;no;536165;1853;932062935;0.93825533836398
silm;1;no;537359;1853;932062935;0.9361741652753944
suur;3;no;1616990;1853;932062935;0.9332578300749684
hea;3;no;1639322;1853;932062935;0.9205515583258584
algus;1;no;553351;1853;932062935;0.9091639637155464
keel;1;no;560971;1853;932062935;0.8968347385155161
andma;3;no;1683851;1853;932062935;0.8962212802963043
viima;1;no;561985;1853;932062935;0.8952192422288815
parim;1;no;577297;1853;932062935;0.871513071239428
näitama;1;no;578982;1853;932062935;0.8689808003067209
tegemine;1;no;590180;1853;932062935;0.8525188676005621
kindlasti;1;no;602222;1853;932062935;0.8354982872306138
vaatama;2;no;1204574;1853;932062935;0.8352810002881338
suutma;1;no;607518;1853;932062935;0.8282260405850481
parem;1;no;620182;1853;932062935;0.8113391993365886
linn;1;no;624130;1853;932062935;0.8062146407544531
nädal;1;no;629821;1853;932062935;0.7989405301870242
maailm;1;no;664447;1853;932062935;0.7573640569565188
suurem;1;no;677819;1853;932062935;0.7424433110120038
võtma;3;no;2139597;1853;932062935;0.7054043132751364
laps;2;no;1505088;1853;932062935;0.6686075005796361
arvama;1;no;778296;1853;932062935;0.6467094942914222
tooma;1;no;815211;1853;932062935;0.6174581509106243
Tallinn;1;no;819246;1853;932062935;0.6144204646428293
jääma;2;no;1700272;1853;932062935;0.5918962528014077
jõudma;1;no;869599;1853;932062935;0.5788813380413579
ütlema;2;no;1762423;1853;932062935;0.571034348820124
võimalus;1;no;896364;1853;932062935;0.5616141732195289
võimalik;1;no;939996;1853;932062935;0.5355714282200025
viimane;1;no;960645;1853;932062935;0.524070514931202
töö;1;no;1225560;1853;932062935;0.410874396783671
leidma;1;no;1279610;1853;932062935;0.3935319276926852
kord;1;no;1304710;1853;932062935;0.3859665683453598
päev;1;no;1360298;1853;932062935;0.3702050081320028
uus;1;no;1922794;1853;932062935;0.2619573525710483
aeg;1;no;2435622;1853;932062935;0.2068224933664531
Eesti;1;no;2594139;1853;932062935;0.1941889737495025
aasta;1;no;4045959;1853;932062935;0.1245237834874905
