lemma;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
plikk;1;no;1;177;932062935;5644.661419404248
Ottoliikmelt;1;no;1;177;932062935;5644.661419404248
Aegvii;1;no;1;177;932062935;5644.661419404248
20.;1;no;1;177;932062935;5644.661419404248
piibujutt;1;no;35;177;932062935;5446.206405450327
TEDx;1;no;277;177;932062935;4356.120925227597
murakas;1;no;1444;177;932062935;2216.6182021060795
armastamine;1;no;2294;177;932062935;1632.585742184411
mittesuitsetaja;1;no;2373;177;932062935;1593.5624993085323
arvustama;1;no;5338;177;932062935;839.9954523057102
jooksja;1;no;10930;177;932062935;444.00576695056907
kaunistus;1;no;13085;177;932062935;375.7437899432956
veoauto;1;no;14973;177;932062935;331.1413713101786
autojuht;2;no;32279;177;932062935;317.1448218872308
Riina;1;no;15688;177;932062935;316.8955720365684
ehtne;1;no;15763;177;932062935;315.47196746584734
nojah;1;no;21112;177;932062935;238.92257822891187
kange;1;no;21284;177;932062935;237.07280477555028
vihane;1;no;21667;177;932062935;233.05498843997063
juhus;1;no;28768;177;932062935;177.3337774602461
järsku;1;no;34234;177;932062935;149.77008830376175
saarlane;1;no;39323;177;932062935;130.83632137341218
sisenema;1;no;41430;177;932062935;124.3287976591689
vahest;1;no;48283;177;932062935;107.01651155108074
põhimõtteliselt;1;no;59727;177;932062935;86.82666853449958
hobune;1;no;61494;177;932062935;84.36899755402769
kõndima;1;no;62968;177;932062935;82.42283511407615
vaatamine;1;no;63244;177;932062935;82.06836178786844
üksik;1;no;81252;177;932062935;64.0857139812638
saal;1;no;85824;177;932062935;60.708429738410814
sajand;2;no;175259;177;932062935;59.7800845499859
tüdruk;2;no;178930;177;932062935;58.55996794061338
nurk;1;no;96997;177;932062935;53.78203562068623
vedama;1;no;120954;177;932062935;43.21104664673032
palk;1;no;124072;177;932062935;42.13322533211783
kartma;1;no;147084;177;932062935;35.582789101636045
surm;1;no;147541;177;932062935;35.47326529780258
külm;1;no;156041;177;932062935;33.5524086272783
vastane;1;no;159495;177;932062935;32.83002415374609
amet;1;no;170408;177;932062935;30.73901258614939
tänane;1;no;180017;177;932062935;29.10666828356291
mets;1;no;191275;177;932062935;27.401825253693787
auto;4;no;788439;177;932062935;26.685170263470766
vähe;1;no;199406;177;932062935;26.289683916827244
nägu;1;no;203254;177;932062935;25.794240191345573
tähendama;2;no;444609;177;932062935;23.640282603407996
kaotama;1;no;246915;177;932062935;21.250299635190203
sõitma;2;no;521363;177;932062935;20.16621903339146
mees;3;no;1070078;177;932062935;14.751130240594764
paluma;1;no;368602;177;932062935;14.252608566688512
küsima;1;no;448244;177;932062935;11.725523209443049
eriti;1;no;605323;177;932062935;8.68747277024436
käsi;1;no;694904;177;932062935;7.569059196005744
elu;1;no;946740;177;932062935;5.557644418427729
kord;1;no;1304710;177;932062935;4.033896042864235
panema;1;no;1364289;177;932062935;3.85785459517288
teadma;1;no;1482699;177;932062935;3.549955566885661
jääma;1;no;1700272;177;932062935;3.0959392031923625
ütlema;1;no;1762423;177;932062935;2.9868201032095465
võtma;1;no;2139597;177;932062935;2.4605245694954285
inimene;1;no;2519709;177;932062935;2.0894781206721973
aasta;1;no;4045959;177;932062935;1.3014495001629325
