EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,1,0,1,2,3,1,0,14,ema; kadri; eva; katariina
0,0,1,0,1,2,3,1,0,14,ema; kadri; eva; katariina
0,0,1,0,1,2,3,1,0,14,ema; kadri; eva; katariina
0,0,1,0,1,2,3,1,0,14,ema; kadri; eva; katariina
0,0,1,0,1,2,3,1,0,14,ema; kadri; eva; katariina
0,0,1,0,1,2,3,1,0,14,ema; kadri; eva; katariina
0,0,1,0,1,1,3,1,0,14,kadri; ema; eva; katariina
0,0,1,0,1,2,2,1,0,14,herned; ema; eva; katariina
0,0,1,0,1,2,2,1,0,14,herned; ema; eva; katariina
0,0,1,0,1,2,2,1,0,14,herned; ema; eva; katariina
0,0,1,0,1,1,2,1,0,14,herned; ema; eva; katariina
