EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,1,0,0,2,1,0,0,14,kanada; trump; jäähoki; aasta
0,2,1,0,0,2,1,0,0,14,kanada; trump; jäähoki; aasta
0,2,1,0,0,2,1,0,0,14,kanada; trump; jäähoki; aasta
0,2,1,0,0,2,1,0,0,14,kanada; trump; jäähoki; aasta
0,2,1,0,0,2,1,0,0,14,kanada; trump; jäähoki; aasta
0,2,1,0,0,2,1,0,0,14,kanada; trump; jäähoki; aasta
0,2,1,0,0,2,1,0,0,14,kanada; trump; jäähoki; aasta
0,2,2,0,0,1,1,0,0,14,trump; jäähoki; aasta; kanada
0,2,2,0,0,1,1,0,0,14,trump; jäähoki; aasta; kanada
0,2,2,0,0,0,1,0,0,14,trump; jäähoki; aasta; kanada
0,2,2,0,0,0,1,0,0,14,trump; jäähoki; aasta; kanada
