EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
0,2,3,0,2,0,2,1,0,11,antenn; elektronkiir; signaal
