EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
2,2,6,3,3,5,3,3,0,16,kriska; narva; materjal; keraamika; aivar; orgaaniline; savinõu; kiviaja
