EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,3,8,4,1,4,5,3,0,14,dvd-plaadil; kommentaar; cbs; port; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,3,8,4,1,4,5,3,0,14,dvd-plaadil; kommentaar; cbs; port; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,3,8,4,1,4,5,3,0,14,dvd-plaadil; kommentaar; cbs; port; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,3,8,4,1,4,5,3,0,14,dvd-plaadil; kommentaar; cbs; port; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,3,8,4,1,4,5,3,0,14,dvd-plaadil; kommentaar; cbs; port; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,3,8,4,1,4,4,3,0,14,dvd-plaadil; kommentaar; cbs; port; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,3,8,4,1,3,7,3,0,14,dvd-plaadil; kommentaar; cbs; port; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,3,6,3,0,3,6,3,0,14,dvd-plaadil; kommentaar; cbs; port; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,3,7,6,0,3,8,3,0,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
6,3,6,5,0,3,8,3,0,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
6,3,6,4,0,3,7,2,0,14,dvd-plaadil; kommentaar; cbs; port; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
