EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,6,2,0,6,6,3,4,20,sostumus; basiilika; kristuse; johannes; jumala; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
5,3,6,2,0,6,6,3,4,20,sostumus; basiilika; kristuse; johannes; jumala; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
5,3,6,2,0,6,6,3,4,20,sostumus; basiilika; kristuse; johannes; jumala; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
5,3,6,2,0,6,6,3,4,20,sostumus; basiilika; kristuse; johannes; jumala; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
5,3,6,2,0,6,6,3,4,20,sostumus; basiilika; kristuse; johannes; jumala; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
5,3,5,2,0,6,6,3,4,20,sostumus; basiilika; kristuse; johannes; jumala; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
5,3,5,2,0,6,6,4,4,20,sostumus; basiilika; kristuse; johannes; jumala; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
5,3,5,2,0,6,6,4,4,20,sostumus; basiilika; kristuse; johannes; jumala; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
5,3,4,2,0,7,6,4,4,20,sostumus; basiilika; kristuse; jumala; johannes; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
5,3,5,2,0,8,7,3,4,20,sostumus; basiilika; kristuse; johannes; jumala; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
5,3,6,2,0,7,7,3,4,20,sostumus; basiilika; kristuse; johannes; jumala; peetruse; patriarh; neitsi; konstantinoopoli; kolmas; gregorius; efesose
