EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,3,2,4,5,4,2,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,4,3,2,4,5,4,2,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,4,3,2,4,5,4,2,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,4,3,2,4,5,4,2,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,4,3,2,4,5,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,4,3,2,4,5,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,4,3,2,4,5,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,4,3,2,4,5,4,2,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,4,3,2,4,5,4,2,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,4,3,2,4,5,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,4,3,2,4,5,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
