EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,5,1,1,4,4,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
2,3,5,1,1,4,4,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
2,3,5,1,1,4,4,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
2,3,5,1,1,4,4,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
2,3,5,1,1,4,4,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
2,3,5,1,1,4,4,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
2,3,5,1,1,4,4,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
2,3,5,1,1,4,4,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
2,3,5,1,1,4,4,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
2,3,4,1,1,3,4,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
2,3,4,0,1,3,3,5,1,12,tegutsemisaeg; jõulud; jaanuar; aasta; intensiivne; rahuaeg
