EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,1,1,5,1,2,3,3,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
2,5,1,1,5,1,2,3,3,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
2,5,1,1,5,1,2,3,3,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
2,5,1,1,5,1,2,3,3,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
2,5,1,1,5,1,2,3,3,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
2,5,1,1,5,1,2,3,3,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
2,5,1,1,5,1,2,3,3,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
2,5,1,1,5,1,2,3,3,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
2,5,1,1,5,1,2,3,3,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
2,5,1,1,5,1,2,3,3,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
2,5,1,1,5,1,2,3,4,12,jumala; vabaks; isa; ori; kannatlikkus; sõna
