EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,7,2,5,7,3,4,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,4,7,2,5,7,3,4,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,4,7,2,5,7,3,3,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,4,7,2,5,7,3,3,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,4,7,2,5,7,3,3,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,4,7,2,5,7,3,3,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,4,7,2,5,7,3,4,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,4,7,2,5,7,3,3,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,4,7,2,5,7,3,3,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,4,7,2,5,7,3,3,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
6,4,7,2,5,7,3,4,0,11,füüsika; elektron; laine; telekas; marek; analoogantenn; valgus; signaal
