EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
4,3,4,3,1,6,3,2,0,13,muusikamaitse; eesti; barcelona; kümnevõistleja; raja; mercury; andres; klassikaraadio; freddie
