EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,2,1,2,5,1,1,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
