EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
4,3,3,2,1,2,0,2,2,12,muldmetall; klaas; braseodüüm; mendelejevi; neodüüm; lantanoid
