EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
3,2,3,2,0,4,5,4,0,13,september; muusikapala; muusika; tõnismägi; tõnis; muusik
