EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,1,1,2,0,1,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
2,3,1,1,2,0,1,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
2,3,1,1,2,0,1,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
2,3,1,1,2,0,1,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
2,3,2,1,2,0,1,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
2,3,2,1,2,0,0,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
2,3,1,1,2,0,0,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
2,3,0,1,2,0,0,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
2,3,3,1,2,0,0,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
2,3,2,1,2,0,0,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
2,3,0,0,2,0,0,3,0,13,isa; torm; ütlemata; ema; kon-tiki; johan
