word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
Installin;PROPN;O;1;no;1;2773;932062911;361.23270428138795
kuulake;VERB;O;2;no;4873;2773;932062911;115.96319017039298
Ringvaadet;PROPN;O;3;no;45;2773;932062911;1032.9881306830018
,;PUNCT;O;220;no;1;2773;932062911;79252.42965276721
tänane;ADJ;O;3;no;36646;2773;932062911;26.858606107078966
Eesti;PROPN;O;6;no;1;2773;932062911;2162.4015843838038
.;PUNCT;O;149;no;1;2773;932062911;53675.8315553129
köik;ADV;O;1;no;4872;2773;932062911;58.07187891888687
rohitab;VERB;O;1;no;1;2773;932062911;361.23270428138795
õitseb;VERB;O;1;no;7558;2773;932062911;39.699686814864165
sumiseb;VERB;O;1;no;274;2773;932062911;279.4653873616996
ja;CCONJ;O;114;yes;1;2773;932062911;41067.64939459598
laulad;VERB;O;1;no;798;2773;932062911;194.82114578733606
on;AUX;O;85;yes;1;2773;932062911;30620.869890001974
südasuvi;NOUN;O;1;no;257;2773;932062911;283.46089638077524
jaanipäev;NOUN;O;2;no;2670;2773;932062911;186.88557943939475
kuuleta;VERB;O;1;no;1;2773;932062911;361.23270428138795
juba;ADV;O;24;yes;1;2773;932062911;8646.609552752501
gustavat;ADJ;O;1;no;1;2773;932062911;361.23270428138795
küla;NOUN;O;2;no;99091;2773;932062911;6.730183966655514
tagant;ADP;O;1;yes;87729;2773;932062911;3.8015880651412375
ainult;ADV;O;8;yes;1;2773;932062911;2882.86913642477
muiste;NOUN;O;2;no;1636;2773;932062911;262.1328361606434
karjapasunad;NOUN;O;1;no;3;2773;932062911;360.46006599142504
kutsuvad;VERB;O;1;no;15060;2773;932062911;21.076257671132296
hääled;NOUN;O;2;no;12625;2773;932062911;49.654827060895684
lähevad;VERB;O;1;yes;101789;2773;932062911;3.2812436812226595
mööda;ADP;O;1;yes;1;2773;932062911;361.23270428138795
lõhnavaid;ADJ;O;1;no;465;2773;932062911;241.2581680834515
kase;NOUN;O;1;no;2344;2773;932062911;102.88350613581792
salusid;NOUN;O;1;no;40;2773;932062911;346.7397375119006
haljendavaid;ADJ;O;1;no;16;2773;932062911;355.5173762147035
põlluradu;NOUN;O;1;no;1;2773;932062911;361.23270428138795
kirevaid;ADJ;O;1;no;461;2773;932062911;241.95090971393608
rõivais;NOUN;O;1;no;251;2773;932062911;284.8984914253592
neiud;NOUN;O;2;no;5984;2773;932062911;97.33480203436339
lillepärjad;NOUN;O;2;no;49;2773;932062911;686.1676318119297
peas;NOUN;O;1;no;51450;2773;932062911;6.4345086824447
tulevad;VERB;O;2;yes;141880;2773;932062911;4.713702754359816
noorukid;NOUN;O;1;no;1646;2773;932062911;130.73879507248145
pillija;NOUN;O;1;no;1;2773;932062911;361.23270428138795
kalja;NOUN;O;1;no;854;2773;932062911;188.71274719907893
ankruga;NOUN;O;1;no;154;2773;932062911;310.3437519055413
astuvad;VERB;O;1;no;15453;2773;932062911;20.570738143392532
väärikalt;ADV;O;1;no;5698;2773;932062911;50.837049833416586
aadid;NOUN;O;1;no;3;2773;932062911;360.46006599142504
tossavaid;ADJ;O;1;no;55;2773;932062911;341.4704724987828
piibud;NOUN;O;1;no;318;2773;932062911;269.6287007951986
suus;NOUN;O;1;no;12069;2773;932062911;25.925021739570134
jaanisaunastusetavate;ADJ;O;1;no;1;2773;932062911;361.23270428138795
memmed;NOUN;O;1;no;675;2773;932062911;209.7321992176783
et;SCONJ;O;34;yes;1;2773;932062911;12248.947312957333
olla;AUX;O;3;yes;4;2773;932062911;1078.2335013309614
koos;ADP;O;1;yes;1;2773;932062911;361.23270428138795
noortega;NOUN;O;1;no;10336;2773;932062911;29.912225487857324
noored;ADJ;O;2;no;1;2773;932062911;721.4664803018711
lendabki;VERB;O;1;no;121;2773;932062911;320.0690434393183
kiik;NOUN;O;1;no;2572;2773;932062911;96.18915161229364
tuule;NOUN;O;1;no;22860;2773;932062911;14.166608413319272
iilina;NOUN;O;1;no;5;2773;932062911;359.69072582917966
taeva;NOUN;O;2;no;15447;2773;932062911;41.09964153366136
alla;ADP;O;2;yes;1;2773;932062911;721.4664803018711
käib;VERB;O;2;no;1;2773;932062911;721.4664803018711
ringi;ADV;O;1;yes;1;2773;932062911;361.23270428138795
vahust;NOUN;O;1;no;918;2773;932062911;182.1845282131565
kobrutab;VERB;O;1;no;179;2773;932062911;303.3607145628084
kann;NOUN;O;1;no;2214;2773;932062911;107.13480567305604
kõriseb;VERB;O;1;no;212;2773;932062911;294.6104059177861
kannel;NOUN;O;1;no;1227;2773;932062911;156.1107075148094
mürtsub;VERB;O;1;no;204;2773;932062911;296.6850121957674
muru;NOUN;O;1;no;21869;2773;932062911;14.782330101049297
vägevast;ADJ;O;1;no;276;2773;932062911;279.00272041808756
jaani;ADJ;O;1;no;1;2773;932062911;361.23270428138795
polkast;NOUN;O;1;no;83;2773;932062911;332.051181215106
nii;ADV;O;20;yes;1;2773;932062911;7205.6744486705675
oli;AUX;O;14;yes;1;2773;932062911;5044.271792547668
see;PRON;O;19;yes;1;2773;932062911;6845.440672650086
kauges;ADJ;O;2;no;2860;2773;932062911;177.52174214901572
minevikus;NOUN;O;1;no;10863;2773;932062911;28.57575590299401
ka;ADV;O;11;yes;3;2773;932062911;3955.0928093084576
tänavustel;ADJ;O;1;no;945;2773;932062911;179.5639542127174
jaanipidustustel;NOUN;O;1;no;11;2773;932062911;357.4022842736883
kõikjal;ADV;O;1;no;34302;2773;932062911;9.566107645790881
nõukogude;NOUN;O;1;no;49213;2773;932062911;6.721555803079008
Eestis;PROPN;O;1;no;1;2773;932062911;361.23270428138795
veel;ADV;O;8;yes;3;2773;932062911;2876.7029863133475
laiemal;ADJ;O;1;no;708;2773;932062911;205.51214001887394
rõõmsamal;ADJ;O;1;no;63;2773;932062911;338.72515484118367
hoogsamal;ADJ;O;1;no;18;2773;932062911;354.7689681417255
viisil;NOUN;O;1;no;83464;2773;932062911;3.993703343254692
kes;PRON;O;3;yes;1;2773;932062911;1081.7002563223543
jõuaks;VERB;O;1;no;17690;2773;932062911;18.099650947162132
loendada;VERB;O;1;no;910;2773;932062911;182.9757477838899
kõiki;DET;O;2;yes;3;2773;932062911;719.9233403231283
kaunimaid;ADJ;O;1;no;759;2773;932062911;199.31419251923623
paiku;NOUN;O;1;yes;46085;2773;932062911;7.168734449517006
kus;ADV;O;5;yes;1;2773;932062911;1802.1678083633205
eile;ADV;O;1;no;1;2773;932062911;361.23270428138795
õhtul;NOUN;O;3;no;207105;2773;932062911;4.851512398179581
süttisid;VERB;O;2;no;870;2773;932062911;373.5572216653806
jaanituled;NOUN;O;2;no;217;2773;932062911;585.8457425220889
igas;DET;O;2;yes;102436;2773;932062911;6.512394595988426
kolhoosis;NOUN;O;2;no;1572;2773;932062911;268.83254863215694
linnasaarel;NOUN;O;1;no;1;2773;932062911;361.23270428138795
laiul;NOUN;O;1;no;680;2773;932062911;209.0816904881909
rõkkas;VERB;O;1;no;278;2773;932062911;278.5415828724578
lõbus;ADJ;O;1;no;32119;2773;932062911;10.197942484113472
jaanipidu;NOUN;O;8;no;349;2773;932062911;2099.73940028036
aeg;NOUN;O;1;no;1;2773;932062911;361.23270428138795
toonud;VERB;O;1;no;55944;2773;932062911;5.926093005639583
küll;ADV;O;9;yes;1;2773;932062911;3243.1029124452534
igivanasse;ADJ;O;1;no;10;2773;932062911;357.7816668818989
jaanipäevagi;NOUN;O;1;no;10;2773;932062911;357.7816668818989
uut;ADJ;O;1;no;1;2773;932062911;361.23270428138795
sisu;NOUN;O;1;no;2;2773;932062911;360.8459715463362
kõrgemaid;ADJ;O;1;no;5060;2773;932062911;56.249883155673366
aateid;NOUN;O;1;no;224;2773;932062911;291.5523328342414
suuremat;ADJ;O;1;no;73961;2773;932062911;4.50045472176421
töörõõmu;NOUN;O;1;no;286;2773;932062911;276.7121759979391
selgemat;ADJ;O;1;no;1167;2773;932062911;160.57300466741182
pilku;NOUN;O;1;no;10584;2773;932062911;29.268061594492103
homsesse;ADJ;O;1;no;1019;2773;932062911;172.75344465055744
kuid;CCONJ;O;5;yes;1;2773;932062911;1802.1678083633205
kõik;PRON;O;3;yes;1;2773;932062911;1081.7002563223543
milles;PRON;O;1;yes;182912;2773;932062911;1.8333626513049992
väljendasid;VERB;O;1;no;2399;2773;932062911;101.18477123087695
