word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
tere;INTJ;O;1;yes;149143;540;932062911;11.507404742604951
,;PUNCT;O;29;no;1;540;932062911;53647.1462731483
minu;PRON;O;1;yes;1;540;932062911;1850.8660780846083
nimi;NOUN;O;1;no;1;540;932062911;1850.8660780846083
on;AUX;O;6;yes;1;540;932062911;11100.201827203126
liiaganemegi;NOUN;O;1;no;1;540;932062911;1850.8660780846083
jõerand;NOUN;O;1;no;13;540;932062911;1827.3645813286792
ja;CCONJ;O;35;yes;1;540;932062911;64746.34917209052
ma;PRON;O;4;yes;2;540;932062911;7392.544648442969
loen;VERB;O;1;no;30589;540;932062911;54.78795228336385
teile;PRON;O;1;yes;136281;540;932062911;12.586079299235081
muistendi;NOUN;O;1;no;392;540;932062911;1304.299422891076
Koit;PROPN;O;3;no;7925;540;932062911;584.7377847810269
Hämarik;PROPN;O;2;no;367;540;932062911;2658.0829067073228
mille;PRON;O;1;yes;1;540;932062911;1850.8660780846083
kirja;NOUN;O;1;no;148395;540;932062911;11.565046931366133
pannud;VERB;O;1;no;87144;540;932062911;19.60776212753593
rahvasuust;NOUN;O;1;no;180;540;932062911;1552.9467565246207
Friedrich;PROPN;O;1;no;10153;540;932062911;155.79293546228374
Robert;PROPN;O;1;no;38074;540;932062911;44.27451431407496
Faehlmann;PROPN;O;1;no;336;540;932062911;1361.8996941775374
.;PUNCT;O;34;no;1;540;932062911;62896.48202226682
lühike;ADJ;O;2;no;33494;540;932062911;100.30240540120634
rõõmuaeg;NOUN;O;1;no;47;540;932062911;1763.905537923883
laulu;NOUN;O;2;no;47103;540;932062911;71.8853418567256
lillerikas;ADJ;O;1;no;8;540;932062911;1837.0839552128418
lühimat;ADJ;O;1;no;164;540;932062911;1575.6162108552342
ööd;NOUN;O;1;no;25315;540;932062911;65.79686635966466
aeg;NOUN;O;3;no;1;540;932062911;5550.600377732015
teeb;VERB;O;1;yes;1;540;932062911;1850.8660780846083
heaks;ADV;O;1;yes;101106;540;932062911;16.92480669880107
meie;PRON;O;2;yes;3;540;932062911;3692.8177535923633
põhjamaa;NOUN;O;2;no;1944;540;932062911;1200.6054892818568
elanike;NOUN;O;1;no;41666;540;932062911;40.5411507630509
karmi;ADJ;O;1;no;9706;540;932062911;162.33918760745877
talve;NOUN;O;1;no;26818;540;932062911;62.23317389324595
