word;upos;ner tag;fc_count;stopword;rfc_count;fcTotalCount;rfcTotalCount;simpleMathsScore
üle;ADV;O;2;yes;2;5229;932062911;382.66120423620555
elama;VERB;O;2;no;60554;5229;932062911;5.813181417600421
vanemate;NOUN;O;1;no;52872;5229;932062911;3.330247586129506
lihtne;ADJ;O;2;no;1;5229;932062911;383.0713172090019
läheme;VERB;O;1;yes;21850;5229;932062911;7.86499674473302
lahutame;VERB;O;1;no;278;5229;932062911;148.0756487984928
niisama;ADV;O;1;yes;86318;5229;932062911;2.053647237092453
eestlased;NOUN;O;1;no;52067;5229;932062911;3.3808305428760463
peame;AUX;O;2;yes;105050;5229;932062911;3.3725484156294683
mõtlema;VERB;O;1;no;75182;5229;932062911;2.3541096583273133
perekondade;NOUN;O;1;no;3222;5229;932062911;43.13387988391923
lihtsat;ADJ;O;1;no;2;5229;932062911;191.82953152640255
lahutama;VERB;O;1;no;2277;5229;932062911;55.83587969532263
pole;VERB;O;1;yes;1;5229;932062911;192.03512273495335
sisse;ADV;O;1;yes;1;5229;932062911;192.03512273495335
elanud;ADJ;O;1;no;54163;5229;932062911;3.2522124699769335
Maido;PROPN;O;1;no;1677;5229;932062911;68.67632431471019
näitab;VERB;O;1;no;2;5229;932062911;191.82953152640255
selline;ADJ;O;2;yes;532929;5229;932062911;0.6695180884829258
iga;DET;O;3;yes;2;5229;932062911;573.4928769460086
aiamaa;NOUN;O;1;no;1278;5229;932062911;81.07500005610376
tegema;VERB;O;1;yes;241833;5229;932062911;0.7380833489166737
seesama;ADJ;O;1;yes;21410;5229;932062911;8.019888375889368
seletada;VERB;O;1;no;1;5229;932062911;192.03512273495335
lapsega;NOUN;O;1;no;41253;5229;932062911;4.247495162241311
elust;NOUN;O;2;no;57364;5229;932062911;6.131282637411035
laabub;VERB;O;1;no;1417;5229;932062911;76.27758703024273
vihastame;VERB;O;1;no;58;5229;932062911;180.97925762347626
töötab;VERB;O;1;no;1;5229;932062911;192.03512273495335
saa;AUX;O;2;yes;3;5229;932062911;382.25196845138873
sellist;DET;O;1;yes;253172;5229;932062911;0.7051475233439144
tohi;AUX;O;1;no;138076;5229;932062911;1.288996097643908
koormus;NOUN;O;1;no;12153;5229;932062911;13.693541395409639
päeva;NOUN;O;3;no;454271;5229;932062911;1.1767900300413574
vabadel;ADJ;O;2;no;1651;5229;932062911;138.37434498150157
päevadel;NOUN;O;2;no;30466;5229;932062911;11.38381177745885
selgeks;ADJ;O;5;no;81213;5229;932062911;10.86098141393131
ketramise;NOUN;O;3;no;249;5229;932062911;453.55621710650223
ketrab;VERB;O;1;no;600;5229;932062911;116.95397711596834
täheldanud;VERB;O;1;no;9916;5229;932062911;16.517313008171016
lambad;NOUN;O;1;no;6141;5229;932062911;25.33285125382619
kollikoer;NOUN;O;1;no;5;5229;932062911;191.2153906957031
pisut;ADV;O;1;yes;1;5229;932062911;192.03512273495335
pille;NOUN;O;1;no;6504;5229;932062911;24.096198859245753
venna;NOUN;O;1;no;17990;5229;932062911;9.469414168851236
naabrimees;NOUN;O;1;no;3133;5229;932062911;44.078247878638514
vokikordaja;NOUN;O;1;no;1;5229;932062911;192.03512273495335
naabrinaine;NOUN;O;1;no;1624;5229;932062911;70.10032885427593
õpetas;VERB;O;1;no;12679;5229;932062911;13.164354011508532
ketrama;VERB;O;1;no;508;5229;932062911;124.42571033851023
rahulik;ADJ;O;2;no;29037;5229;932062911;11.926620442457775
mõnus;ADJ;O;1;no;93658;5229;932062911;1.8942883123136256
tegelen;VERB;O;1;no;12345;5229;932062911;13.495518687711206
aiamaaga;NOUN;O;1;no;51;5229;932062911;182.26793893693934
pereasjadega;NOUN;O;1;no;29;5229;932062911;186.44029291160302
nõks;ADJ;O;1;yes;2901;5229;932062911;46.74612830358469
männik;NOUN;O;1;no;341;5229;932062911;140.74783664270763
saablembeline;ADJ;O;1;no;1;5229;932062911;192.03512273495335
uriseb;VERB;O;1;no;596;5229;932062911;117.26012675489763
laulad;VERB;O;1;no;798;5229;932062911;103.56897977181006
osaleb;VERB;O;1;no;38016;5229;932062911;4.6005073742117295
Maal;PROPN;O;1;no;5916;5229;932062911;26.16518758107505
korra;NOUN;O;1;no;129099;5229;932062911;1.3779849723750894
elanud;VERB;O;1;no;54163;5229;932062911;3.2522124699769335
maatööd;NOUN;O;1;no;340;5229;932062911;140.85848198534407
kõne;NOUN;O;1;no;49353;5229;932062911;3.563301709504703
tänulik;ADJ;O;1;no;30079;5229;932062911;5.777965468244568
inimestele;NOUN;O;1;no;118758;5229;932062911;1.4970403246137018
ümbritsevad;VERB;O;1;no;7136;5229;932062911;22.208658089294595
lahked;ADJ;O;1;no;2805;5229;932062911;47.946971967183416
õpetavad;VERB;O;1;no;6030;5229;932062911;25.736746841257872
