keyphrase;score
;1.0
null;0.8614
defineerima;0.8416
test;0.831
meeter;0.829
ornament;0.8231
seen;0.8202
andma;0.8185
vale;0.8174
kodu;0.8167
vastavalt;0.8165
punkt;0.8138
meenutav;0.8125
kell;0.812
nurme;0.8105
remo-s;0.81
lava;0.8098
sand;0.8097
instrument;0.8092
tore;0.8092
asi;0.8073
ehme;0.806
servelg;0.8056
komme;0.8049
ima;0.8047
inimene;0.803
arv;0.8027
buss;0.8024
taas;0.8022
taller;0.8002
etikett;0.8002
parem;0.799
uskuma;0.7985
plusspunkt;0.7985
neer;0.7982
ant;0.7982
lauttingism;0.7974
selge;0.7973
uus;0.7966
kaks;0.796
transport;0.7955
tooma;0.7951
toivo;0.795
kindlalt;0.7949
san;0.7948
dts;0.7944
sisustamine;0.7944
jaan;0.7939
au;0.7938
tablett;0.7934
otsustama;0.7932
tass;0.7932
obu;0.7925
valge;0.7921
artur;0.7919
ala;0.7914
no;0.7911
vaev;0.791
tallo;0.791
aeg;0.7909
maks;0.7909
lause;0.7905
võib-olla;0.7903
kilogramm;0.79
pill;0.7889
mees;0.7881
panema;0.7879
sobitama;0.7877
silm;0.7872
ammu;0.787
victoria;0.7867
l1;0.7867
eesti;0.7864
edgar;0.7863
kannel;0.7862
sealjuures;0.7861
auhind;0.786
saade;0.7858
kustuma;0.7854
seisnema;0.7852
sündima;0.7851
nsv;0.7843
tuttav;0.7843
kiri;0.7841
kombineerima;0.7839
äik;0.7839
tegemine;0.7837
liige;0.7835
tola;0.7835
seis;0.7833
atscon;0.783
ookean;0.783
kolleegium;0.7828
haige;0.7825
kallas;0.7823
karva;0.7812
soliidsem;0.7807
käng;0.7806
huvi;0.7804
kunst;0.7803
tikutoos;0.7801
osa;0.7799
ema;0.7798
kingima;0.7795
eraldi;0.7794
huul;0.7792
autor;0.7791
hea;0.7791
konn;0.779
taotav;0.7789
kokkuvõte;0.7786
kurina;0.7786
juhuslikult;0.7783
segane;0.7782
süüm;0.7781
kolmas;0.7779
populaarsem;0.7777
aasta;0.7776
murmansk;0.7776
ahing;0.7774
nojah;0.7773
holland;0.7765
suue;0.7761
seadma;0.7761
toimetaja;0.7758
olu;0.7757
rott;0.7757
maa;0.7756
tohutult;0.7743
174;0.7742
rinne;0.7741
raske;0.7739
meiline;0.7738
jutt;0.7732
organiseeritud;0.7726
miniviktoriin;0.7725
katke;0.7722
suitsupakk;0.772
täis;0.772
finiš;0.7717
nyyd;0.7715
kalur;0.7713
poiss;0.7713
natuke;0.7711
ruus;0.7709
peedeee;0.7707
nali;0.7706
orkestripill;0.7703
tuba;0.7702
tulvil;0.7701
looming;0.77
prosotsiaalne;0.77
õnn;0.7699
muhulane;0.7699
apenniin;0.7698
laiuv;0.7694
ajaleht;0.7693
tril;0.7692
linn;0.7691
soovima;0.769
itaalia;0.7689
panul;0.7687
saladus;0.7681
poolne;0.768
sari;0.7678
muusika;0.7676
demokraatlik;0.7671
lubama;0.7671
kutsuma;0.7671
viljar;0.767
võra;0.7663
detsember;0.766
1945;0.7649
mikrofon;0.7646
jõgi;0.764
sajatonnine;0.764
natukene;0.7629
vilets;0.7618
16;0.7618
naljakas;0.7612
algus;0.7609
hinn;0.7602
solist;0.7601
käepärane;0.7599
puhastama;0.7597
1932;0.7595
söökla;0.7586
siduma;0.7581
ta-ta-tama;0.7567
1971;0.7555
gauces;0.7551
tühi;0.755
klubi;0.753
viveegaaweedurillija;0.752
paha;0.7515
keelpillipuhkpilliv;0.7513
müüdüüdonovo;0.7468
niisuke;0.7461
polk;0.7451
500;0.7437
