EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,4,4,4,7,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,3,3,4,4,4,7,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,3,3,4,4,4,7,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,3,2,4,4,4,7,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,3,3,4,4,4,7,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
3,3,3,4,4,3,7,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
4,3,3,4,4,3,6,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
8,3,4,3,4,4,8,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
8,2,6,4,5,3,6,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
6,2,6,4,5,5,6,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
8,4,6,5,5,5,6,4,0,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
