EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
7,9,7,4,2,7,10,7,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
