EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,4,5,4,5,5,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,5,5,4,5,5,5,5,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,5,5,4,5,5,5,4,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,5,5,4,5,5,5,4,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,5,5,4,5,5,5,4,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,5,5,4,5,5,5,4,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,5,5,4,5,5,5,4,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,5,5,4,5,5,5,4,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,5,5,4,5,5,5,4,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,5,5,4,5,5,5,4,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
7,5,5,4,5,5,5,4,0,11,füüsika; marek; laine; telekas; elektron; analoogantenn; valgus; signaal
