EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,2,4,2,3,4,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,4,2,4,2,3,4,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,4,2,4,2,3,4,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,4,2,4,2,3,4,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,4,2,4,2,3,4,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
5,4,2,4,2,3,4,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
4,4,2,3,2,3,4,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
4,4,3,3,2,3,4,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
3,4,3,3,1,3,4,2,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
4,4,3,4,1,3,4,3,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
4,5,3,4,0,3,4,4,0,10,koit; valgusandja; faehlmann; hämarik; vanaisa
