EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,2,1,2,2,2,1,10,sihtrühm; fbi; ahnus; strateegia
3,2,2,2,1,2,2,2,1,10,sihtrühm; fbi; ahnus; strateegia
3,2,2,2,1,2,2,2,1,10,sihtrühm; fbi; ahnus; strateegia
3,2,2,2,1,2,2,2,1,10,sihtrühm; fbi; ahnus; strateegia
3,2,1,2,1,2,2,2,1,10,sihtrühm; fbi; ahnus; strateegia
3,2,1,2,1,3,2,3,1,10,sihtrühm; fbi; ahnus; strateegia
3,2,1,2,1,3,2,3,1,10,sihtrühm; fbi; ahnus; strateegia
3,2,1,2,1,2,2,2,1,10,sihtrühm; fbi; ahnus; strateegia
2,2,2,2,1,2,3,3,1,10,sihtrühm; fbi; ahnus; strateegia
2,2,1,2,2,1,2,2,1,10,sihtrühm; fbi; ahnus; strateegia
2,2,1,2,2,1,2,2,1,10,sihtrühm; fbi; ahnus; strateegia
