EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,5,4,2,3,4,2,0,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,5,4,2,3,4,2,0,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,5,4,2,3,4,2,0,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,5,4,2,3,4,2,0,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,5,4,2,3,4,2,0,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
4,1,5,4,2,4,3,2,0,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,5,4,2,4,4,2,0,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,3,3,2,5,4,2,0,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
4,1,2,3,2,4,3,2,0,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,2,3,2,4,4,2,0,10,tähendus; sport; jalgpall; äri; ameerika; euroopa; võitlus; meedia
3,1,3,2,2,5,6,3,0,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
