EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
4,2,3,3,2,4,3,1,0,12,määrus; lausemall; öeldistäide; keelekasutaja
