EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,3,3,3,6,4,0,18,arvuti; maailma; kommentaar; port; watson; thomas; tehnoloogia; kristjan; google; võrgustik; papadopolous; serveri
6,6,6,3,3,3,6,5,0,18,arvuti; maailma; kommentaar; port; watson; thomas; tehnoloogia; kristjan; google; võrgustik; papadopolous; serveri
6,6,6,3,3,3,6,5,0,18,arvuti; maailma; kommentaar; port; watson; thomas; tehnoloogia; kristjan; google; võrgustik; papadopolous; serveri
6,6,6,3,3,3,6,5,0,18,arvuti; maailma; kommentaar; port; watson; thomas; tehnoloogia; kristjan; google; võrgustik; papadopolous; serveri
6,6,6,3,3,3,6,5,0,18,arvuti; maailma; kommentaar; port; watson; thomas; tehnoloogia; kristjan; google; võrgustik; papadopolous; serveri
6,6,5,3,3,3,6,5,0,18,arvuti; maailma; kommentaar; port; watson; thomas; tehnoloogia; kristjan; google; võrgustik; papadopolous; serveri
5,6,6,4,3,3,7,5,0,18,võrgustik; kommentaar; port; thomas; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; tehnoloogia
4,6,8,5,3,5,7,5,0,18,arvuti; võrgustik; maailma; kommentaar; watson; port; thomas; kristjan; google; tehnoloogia; papadopolous; serveri
4,6,6,5,3,5,6,5,0,18,arvuti; võrgustik; maailma; kommentaar; watson; port; thomas; kristjan; google; tehnoloogia; papadopolous; serveri
5,8,8,6,3,4,7,6,0,18,kommentaar; port; thomas; tehnoloogia; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
4,8,8,5,3,5,6,7,0,18,kommentaar; port; thomas; tehnoloogia; papadopolous; serveri; arvuti; maailma; watson; kristjan; google; võrgustik
