EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,2,2,0,5,3,2,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,4,2,2,0,5,3,2,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,4,2,2,0,5,3,2,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,4,2,2,0,5,3,2,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,4,2,2,0,5,3,3,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,4,2,2,0,5,3,3,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,4,2,2,0,5,4,3,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,4,2,3,0,5,4,3,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
5,4,2,3,0,5,5,3,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
5,4,3,3,0,3,5,3,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,4,3,3,1,3,5,3,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
