EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
4,5,7,4,4,4,5,3,0,16,kriska; narva; materjal; aivar; orgaaniline; keraamika; savinõu; kiviaja
