EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,3,3,1,3,2,4,0,11,kooli; katariina; redel; ronima; ema; poiss
2,3,3,3,1,3,2,4,0,11,kooli; katariina; redel; ronima; ema; poiss
2,3,3,3,1,3,2,4,0,11,kooli; katariina; redel; ronima; ema; poiss
2,3,3,3,1,3,2,4,0,11,kooli; katariina; redel; ronima; ema; poiss
2,3,3,3,1,3,2,4,0,11,kooli; katariina; redel; ronima; ema; poiss
2,3,3,3,1,4,2,4,0,11,kooli; katariina; redel; ronima; ema; poiss
2,3,3,4,2,3,2,4,0,11,kooli; katariina; redel; ronima; ema; poiss
1,3,4,2,2,3,2,4,0,11,kooli; katariina; redel; ronima; ema; poiss
2,2,3,2,2,3,2,3,0,11,redel; kooli; ronima; ema; katariina; poiss
1,3,4,2,2,3,2,4,0,11,kooli; katariina; redel; ronima; ema; poiss
2,2,4,3,2,3,3,4,0,11,kooli; katariina; redel; ronima; ema; poiss
