EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,6,6,3,4,6,6,0,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,6,6,3,4,6,6,0,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,6,6,3,4,6,6,0,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,6,6,3,4,6,6,0,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,6,6,3,4,6,6,0,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,6,6,3,4,6,6,0,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,6,6,3,6,6,6,0,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
8,5,6,7,3,6,8,6,0,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
9,5,5,7,3,6,7,6,0,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,7,7,5,5,8,6,0,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
8,5,8,7,5,6,8,6,0,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
