EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
4,3,2,3,2,1,2,1,0,14,nõukogude; kollektiiv; partei; ehitusvalitsus; plaan; kohustuseaasta
