EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,4,6,4,4,4,4,4,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
2,4,6,4,4,4,4,4,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
2,4,6,4,4,4,4,4,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
2,4,6,4,4,4,4,4,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
2,4,6,4,4,4,4,4,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
2,4,6,4,4,4,4,4,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,6,4,4,4,4,4,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,5,3,4,4,4,4,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,4,5,3,4,4,4,4,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
3,5,5,2,4,4,5,4,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
4,4,5,2,3,4,5,5,0,10,töö; õigus; talu; vabadus; kolhoos; varandus; iseseisvus
