EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,1,0,0,0,1,0,0,11,muusikasaadete
0,0,1,0,0,0,1,0,0,11,muusikasaadete
0,0,1,0,0,0,1,0,0,11,muusikasaadete
0,0,1,0,0,0,1,0,0,11,muusikasaadete
0,0,1,0,0,0,1,0,0,11,muusikasaadete
0,0,0,0,0,0,1,1,0,11,muusikasaadete
0,0,0,0,0,1,1,1,0,11,estraadiorkester; muusikasaadete
0,0,0,1,0,1,1,1,0,11,estraadiorkester; muusikasaadete
1,0,0,0,0,1,1,0,0,11,estraadiorkester; varietee
0,0,0,0,0,1,1,0,0,11,estraadiorkester
0,0,1,1,0,0,0,0,0,11,haapsalu; varietee
