EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
1,0,2,1,1,4,1,0,0,13,muusikamaitse; eesti; kümnevõistleja; raja; andres; klassikaraadio
