EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,1,0,2,1,2,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
1,1,1,1,0,2,1,2,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
1,1,1,1,0,2,1,2,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
1,1,1,1,0,2,1,2,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
1,1,1,1,0,2,1,2,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
1,1,1,1,0,2,1,3,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
1,1,1,1,0,2,1,3,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
1,1,1,0,0,2,1,3,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
1,1,1,3,0,2,1,3,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
1,1,1,1,0,2,1,3,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
1,1,1,1,0,2,1,3,1,14,martin; kõrvalised; maja; suhkrusaiapidu; isikud; soolariiul
