EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,6,3,4,6,8,8,3,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
8,5,6,3,4,6,8,8,3,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
8,5,6,3,4,6,8,8,3,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
8,5,6,3,4,6,8,8,3,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
8,5,6,3,4,6,8,8,3,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
8,5,6,3,4,6,8,8,3,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
7,5,6,4,4,6,7,8,3,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
7,5,6,5,4,6,7,8,3,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
7,5,6,6,4,7,8,8,3,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
6,5,6,6,4,7,7,8,3,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
6,5,5,6,5,6,8,8,4,12,lill; koit; robert; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
