EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,5,6,3,7,5,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
6,6,6,5,6,3,7,5,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
6,6,6,5,6,3,7,5,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
6,6,6,5,6,3,7,5,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
6,6,6,5,6,3,7,5,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
6,6,6,5,6,3,7,5,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
6,6,6,5,6,3,7,6,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
6,6,5,6,6,3,7,6,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
5,6,5,7,6,4,8,6,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
5,6,6,7,6,6,8,6,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
5,6,6,6,7,7,8,6,5,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
