EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,3,4,2,4,4,5,3,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
4,6,3,4,2,4,4,5,3,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
4,6,3,4,2,4,4,5,3,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
4,6,3,4,2,4,4,5,3,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
4,6,3,4,2,4,4,5,3,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
4,6,4,4,2,4,5,5,3,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
3,6,4,5,2,5,6,6,3,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
4,6,5,4,2,5,6,6,3,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
5,6,4,5,3,5,5,6,3,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
7,6,5,6,4,5,5,5,3,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
4,5,4,4,4,4,5,6,4,12,iroonia; tulevik; unt; luuletaja; kollane; intervjuu; romaan; mati; viivi; kass
