EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,2,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
4,2,2,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
4,2,2,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
4,2,2,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
4,2,2,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
4,2,2,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
4,2,2,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
4,2,3,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
5,2,3,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
5,2,3,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
5,2,3,2,4,4,3,2,3,10,koor; traditsioon; saatja; repertuaar; noor
