EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
6,7,6,5,6,4,6,5,8,11,kineskooptelekas; strandberg; elektronkiir; antenn; marek; vasak; alar; valgus; signaal
