EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,5,6,5,7,7,6,4,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
4,6,5,6,5,7,7,7,4,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
4,6,5,6,5,7,7,7,3,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
4,6,5,6,5,7,7,7,3,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
4,6,5,6,5,7,7,7,3,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
4,6,5,6,5,6,7,7,3,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
4,6,6,6,5,8,6,8,3,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
5,7,6,4,5,8,9,6,3,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
5,7,5,6,5,8,9,6,4,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
6,6,5,6,6,8,8,6,5,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; hernes; redel; kadri; poiss
4,6,5,5,5,8,7,5,5,14,eva; dieet; ronimine; katus; ema; kohvik; hinrik; katariina; koldits; redel; hernes; kadri; poiss
