EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,8,9,3,8,8,10,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; teater; liit; draamatrupp
7,8,8,9,3,8,8,10,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; teater; liit; draamatrupp
7,8,8,9,3,8,8,10,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; teater; liit; draamatrupp
7,8,8,9,3,8,8,10,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; teater; liit; draamatrupp
7,8,8,9,3,8,8,10,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; teater; liit; draamatrupp
7,8,8,9,3,8,8,10,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; teater; liit; draamatrupp
7,8,8,9,3,8,8,10,6,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; teater; liit; draamatrupp
7,8,8,8,4,8,8,10,6,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; teater; liit; draamatrupp
8,8,7,8,4,9,8,10,6,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
6,8,7,8,4,9,8,10,6,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
6,7,7,7,3,10,7,10,5,12,külalisesinemine; nsv; teatritrupp; riiklik; näitleja; ooperilavastus; sõprus; vanemuine; tšehhoslovakkia; liit; teater; draamatrupp
