EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,6,6,2,4,3,5,3,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,4,6,6,2,4,3,5,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,4,6,6,2,4,3,5,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,4,6,6,2,4,3,5,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,4,6,6,2,4,3,5,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,4,7,6,2,4,4,6,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,4,6,6,2,4,5,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,4,6,6,4,5,6,7,4,10,jalgpall; gladiaator; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
6,5,6,4,3,7,6,7,4,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
5,6,7,6,3,6,6,6,4,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
5,6,6,6,3,5,6,8,5,10,jalgpall; gladiaator; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
